model	augmentation	augmented_samples	epochs	batch_size	accuracy	mae	f1
bert-german	multiple	1472	2	8	0.7427884615384616	0.31009615384615385	0.41358024691358025
bert-german	multiple	2944	1	16	0.7451923076923077	0.30528846153846156	0.38485804416403785
bert-german	multiple	2944	1	32	0.7548076923076923	0.2956730769230769	0.40247678018575844
bert-german	multiple	2944	1	8	0.7620192307692307	0.2764423076923077	0.4037267080745341
bert-german	multiple	2944	2	16	0.75	0.31490384615384615	0.40185471406491496
bert-german	multiple	2944	2	32	0.7548076923076923	0.3076923076923077	0.4049459041731066
bert-german	multiple	2944	2	8	0.7163461538461539	0.3485576923076923	0.3943217665615142
bert-multilingual	none	0	1	16	0.7331730769230769	0.3004807692307692	0.4098613251155624
bert-multilingual	none	0	1	32	0.6971153846153846	0.3557692307692308	0.35348837209302325
bert-multilingual	none	0	1	8	0.7259615384615384	0.3076923076923077	0.4131455399061033
bert-multilingual	none	0	2	16	0.7355769230769231	0.28365384615384615	0.4208955223880597
bert-multilingual	none	0	2	32	0.7427884615384616	0.28125	0.4006069802731411
bert-multilingual	none	0	2	8	0.7307692307692307	0.2956730769230769	0.4017725258493353
bert-multilingual	none	1472	1	16	0.7572115384615384	0.2620192307692308	0.4259818731117825
bert-multilingual	none	1472	1	32	0.7355769230769231	0.30288461538461536	0.3605015673981191
bert-multilingual	none	1472	1	8	0.7548076923076923	0.28125	0.4357034795763994
bert-multilingual	none	1472	2	16	0.7283653846153846	0.3125	0.42985074626865666
bert-multilingual	none	1472	2	32	0.7788461538461539	0.2548076923076923	0.43004418262150224
bert-multilingual	none	1472	2	8	0.7139423076923077	0.3317307692307692	0.4172876304023845
bert-multilingual	none	2944	1	16	0.7548076923076923	0.2668269230769231	0.44279346210995546
bert-multilingual	none	2944	1	32	0.7331730769230769	0.28846153846153844	0.392156862745098
bert-multilingual	none	2944	1	8	0.7524038461538461	0.27403846153846156	0.4017595307917889
bert-multilingual	none	2944	2	16	0.7548076923076923	0.2860576923076923	0.4570596797671033
bert-multilingual	none	2944	2	32	0.7355769230769231	0.31009615384615385	0.38912732474964234
bert-multilingual	none	2944	2	8	0.7355769230769231	0.30288461538461536	0.41690962099125367
bert-multilingual	single	1472	1	16	0.7620192307692307	0.28365384615384615	0.42507645259938837
bert-multilingual	single	1472	1	32	0.7283653846153846	0.33413461538461536	0.40615384615384614
bert-multilingual	single	1472	1	8	0.7331730769230769	0.3173076923076923	0.41463414634146345
bert-multilingual	single	1472	2	16	0.7524038461538461	0.3076923076923077	0.4047976011994003
bert-multilingual	single	1472	2	32	0.7451923076923077	0.30528846153846156	0.4262295081967213
bert-multilingual	single	1472	2	8	0.7379807692307693	0.3293269230769231	0.4176829268292683
bert-multilingual	single	2944	1	16	0.7403846153846154	0.2980769230769231	0.43657817109144537
bert-multilingual	single	2944	1	32	0.7259615384615384	0.3173076923076923	0.4088235294117647
bert-multilingual	single	2944	1	8	0.7211538461538461	0.3269230769230769	0.4296081277213352
bert-multilingual	single	2944	2	16	0.7379807692307693	0.3004807692307692	0.4239766081871345
bert-multilingual	single	2944	2	32	0.7091346153846154	0.3701923076923077	0.40638606676342526
bert-multilingual	single	2944	2	8	0.7379807692307693	0.31009615384615385	0.41935483870967744
bert-multilingual	multiple	1472	1	16	0.7524038461538461	0.30528846153846156	0.38810641627543035
bert-multilingual	multiple	1472	1	32	0.7139423076923077	0.3485576923076923	0.350547730829421
bert-multilingual	multiple	1472	1	8	0.75	0.2956730769230769	0.40185471406491496
